epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.149,0.84703,1.71747,0.79138,1.31448,0.85107,0.8872,0.92339,0.67495,0.8507,0.87671,0.90662,0.61683,0.91225,1.89453,0.70386,1.39153,0.000662651,0.000662651,0.000662651
2,561.172,0.96769,1.94277,0.88663,1.39578,0.88702,0.78867,0.86849,0.60062,0.83652,0.77169,0.84295,0.49139,1.04902,2.31255,0.96022,1.52963,0.00129642,0.00129642,0.00129642
3,820.695,1.04077,2.08116,0.98339,1.44742,0.90103,0.85388,0.9204,0.64914,0.89749,0.83562,0.91592,0.61155,1.05399,1.87808,0.74806,1.52978,0.00189718,0.00189718,0.00189718
4,1141.4,1.06606,2.06262,0.973,1.46661,0.84525,0.86301,0.90016,0.60548,0.85691,0.79452,0.87278,0.5223,1.05539,1.94599,0.88339,1.54658,0.0018515,0.0018515,0.0018515
5,1567.85,1.0562,2.07602,0.9929,1.46726,0.90114,0.88128,0.94278,0.66805,0.8953,0.85845,0.91728,0.595,0.97435,1.88558,0.82876,1.47882,0.001802,0.001802,0.001802
6,1865.87,1.03656,2.06617,0.98053,1.45494,0.88438,0.87319,0.92648,0.69153,0.87721,0.84818,0.91841,0.63868,0.91887,1.75092,0.70338,1.38245,0.0017525,0.0017525,0.0017525
7,2435.94,1.00157,2.00356,0.95136,1.43579,0.87575,0.84018,0.92252,0.64878,0.897,0.84932,0.9118,0.61754,0.97375,1.79193,0.75573,1.45162,0.001703,0.001703,0.001703
8,3171.89,1.00387,1.9687,0.93291,1.43154,0.80652,0.80822,0.8625,0.61425,0.80652,0.80822,0.85193,0.58099,1.03679,1.95388,0.8284,1.5325,0.0016535,0.0016535,0.0016535
9,3613.2,0.98152,2.01133,0.9263,1.43134,0.88828,0.88584,0.93828,0.69615,0.88828,0.88584,0.93225,0.64876,0.8927,1.69425,0.69435,1.36284,0.001604,0.001604,0.001604
10,3908.93,0.97128,1.94485,0.90839,1.40706,0.86101,0.82192,0.91763,0.65523,0.85021,0.81279,0.90287,0.61682,0.97046,1.81617,0.78947,1.41478,0.0015545,0.0015545,0.0015545
11,4226.93,0.96059,1.9466,0.90172,1.40608,0.85609,0.87215,0.92059,0.69461,0.86105,0.8772,0.92806,0.63849,0.89916,1.73753,0.68214,1.40021,0.001505,0.001505,0.001505
12,4551.47,0.98867,1.94216,0.91316,1.42087,0.86024,0.84018,0.91622,0.66325,0.86684,0.83562,0.90154,0.59714,0.94064,1.78556,0.75387,1.40922,0.0014555,0.0014555,0.0014555
13,4983.72,0.97771,1.89313,0.89759,1.41126,0.88008,0.87671,0.93501,0.68509,0.88455,0.87464,0.92322,0.62934,0.89981,1.82585,0.71425,1.38298,0.001406,0.001406,0.001406
14,5293.49,0.93643,1.89435,0.90071,1.3961,0.88735,0.86301,0.93092,0.68902,0.87823,0.85627,0.91282,0.62434,0.91583,1.76888,0.66207,1.38291,0.0013565,0.0013565,0.0013565
15,5814.52,0.91272,1.80447,0.8407,1.37588,0.90659,0.88633,0.93368,0.71988,0.90668,0.87671,0.92598,0.64904,0.86082,1.76663,0.63701,1.33172,0.001307,0.001307,0.001307
16,6264.04,0.89923,1.80332,0.83285,1.35403,0.91428,0.87665,0.93956,0.69328,0.90565,0.87662,0.93569,0.63981,0.86859,1.66113,0.63888,1.36445,0.0012575,0.0012575,0.0012575
17,6597.76,0.91492,1.87201,0.8703,1.37009,0.91769,0.89041,0.94114,0.69439,0.91182,0.88128,0.92446,0.64254,0.91337,1.70861,0.65085,1.39148,0.001208,0.001208,0.001208
18,6890.29,0.88714,1.78466,0.83664,1.3581,0.8563,0.92517,0.94953,0.70644,0.89016,0.89498,0.93424,0.66685,0.85823,1.64192,0.67767,1.32901,0.0011585,0.0011585,0.0011585
19,7580.46,0.89346,1.8023,0.83405,1.35916,0.90508,0.87077,0.93572,0.72343,0.91462,0.88051,0.93429,0.67152,0.83396,1.58702,0.6183,1.32167,0.001109,0.001109,0.001109
20,8028.36,0.86455,1.78774,0.79737,1.33813,0.92088,0.90868,0.9483,0.71554,0.91625,0.90411,0.93704,0.65974,0.85596,1.63086,0.58409,1.33151,0.0010595,0.0010595,0.0010595
